Section_Name,Content,Approved/Disapproved,Blanks,signature,final_response,Content_modified,Category,Entity Dictionary,Final_signature
Id,Prot Specific Site IC  CA209-9DW JPN 0177 17 Feb 2020  IEC-IRB Approved IC,,,,,,,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
,A Phase 3 Study of Nivolumab in Combination with Ipilimumab Compared to Sorafenib or Lenvatinib as First-Line Treatment in Participants with Advanced Hepatocellular Carcinoma,,,,,,,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
Address,"1-2-3 Kasumi, Minami-ku, Hiroshima-shi, Hiroshima",,,,,,,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
About <A Phase 3 Study of Nivolumab in Combination with Ipilimumab Compared to Sorafenib or Lenvatinib as First-Line Treatment in Participants with Advanced Hepatocellular Carcinoma>,,,,yes,yes,"
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
INFORMATION SHEET / INFORMED CONSENT FORM,,,,yes,yes,"
I agree to the above statement",Certificate,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
Hiroshima University Hospital Protocol Number: CA2099DW Document Date: 17FEB2020 Version 1,Please read this together with the separate Information Sheet / Informed Consent Form for Ã¢ÂÂGenome Analysis Research.Ã¢ÂÂ,,,yes,yes,"Please read this together with the separate Information Sheet / Informed Consent Form for Ã¢ÂÂGenome Analysis Research.Ã¢ÂÂ
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
Hiroshima University Hospital Protocol Number: CA2099DW Document Date: 17FEB2020 Version 1,Table of Contents,,,yes,yes,"Table of Contents
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
The fact that clinical trials involve research,"In order for a new drug to be commonly used in hospitals, it needs to be approved by domestic and foreign regulatory authorities based on its efficacy (desired effects) and safety. To develop a new drug, a candidate compound is assessed for its efficacy and unwanted effects on the human body by using cells or animals first. However, those results are not sufficient for the compound to be used in human for the treatment of disease because the physical structures are different between human and animals. Therefore, after various effects and safety are assessed in animal studies, further research studies are necessary to investigate the efficacy and unwanted effects in many healthy volunteers and patients based on a plan in full accordance with safety and scientific principles as well as respect for human rights.",,,yes,yes,"In order for a new drug to be commonly used in hospitals, it needs to be approved by domestic and foreign regulatory authorities based on its efficacy (desired effects) and safety. To develop a new drug, a candidate compound is assessed for its efficacy and unwanted effects on the human body by using cells or animals first. However, those results are not sufficient for the compound to be used in human for the treatment of disease because the physical structures are different between human and animals. Therefore, after various effects and safety are assessed in animal studies, further research studies are necessary to investigate the efficacy and unwanted effects in many healthy volunteers and patients based on a plan in full accordance with safety and scientific principles as well as respect for human rights.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
The fact that clinical trials involve research,"Such research studies conducted in humans to investigate the efficacy and safety are called Ã¢ÂÂclinical research studies"", of which those conducted to obtain approval from domestic and foreign regulatory authorities are called ""clinical trials"".",,,yes,yes,"Such research studies conducted in humans to investigate the efficacy and safety are called Ã¢ÂÂclinical research studies"", of which those conducted to obtain approval from domestic and foreign regulatory authorities are called ""clinical trials"".
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
The fact that clinical trials involve research,"You are being considered for participation in a research study. Before you can take part in this study, it is important that you understand what this study involves. Please read this Information Sheet and Informed Consent Form carefully and ask any questions that you might have.",,,yes,yes,"You are being considered for participation in a research study. Before you can take part in this study, it is important that you understand what this study involves. Please read this Information Sheet and Informed Consent Form carefully and ask any questions that you might have.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
