Section_Name,Content,Approved/Disapproved,Blanks,signature,final_response,Content_modified,Category,Entity Dictionary,Final_signature
Id,Prot Specific Site IC IC Main CA209-9DW USA 0295 13 Apr 2021 4.1 IEC-IRB Approved IC,,,,,,,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'United States'}",
TITLE:,"A Randomized, Multi-center, Phase 3 Study of Nivolumab in Combination with Ipilimumab Compared to Sorafenib or Lenvatinib as First-Line Treatment in Participants with Advanced Hepatocellular Carcinoma",,,,,,,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'United States'}",
INFORMED CONSENT FORM,"TITLE:	A Randomized, Multi-center, Phase 3 Study of Nivolumab in Combination with Ipilimumab Compared to Sorafenib or Lenvatinib as First-Line Treatment in Participants with Advanced Hepatocellular Carcinoma",,,yes,yes,"TITLE:	A Randomized, Multi-center, Phase 3 Study of Nivolumab in Combination with Ipilimumab Compared to Sorafenib or Lenvatinib as First-Line Treatment in Participants with Advanced Hepatocellular Carcinoma
I agree to the above statement",Certificate,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'United States'}",
INFORMED CONSENT FORM,"PROTOCOL NO.:	CA2099DW",,,yes,yes,"PROTOCOL NO.:	CA2099DW
I agree to the above statement",Certificate,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'United States'}",
INFORMED CONSENT FORM,IRB Protocol #20191684 CINJ#072101,,,yes,yes,"IRB Protocol #20191684 CINJ#072101
I agree to the above statement",Certificate,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'United States'}",
INFORMED CONSENT FORM,"SPONSOR:	Bristol-Myers Squibb Research and Development",,,yes,yes,"SPONSOR:	Bristol-Myers Squibb Research and Development
I agree to the above statement",Certificate,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'United States'}",
INFORMED CONSENT FORM,"INVESTIGATOR:	Nikolaos T. Pyrsopoulos, MD, PhD, MBA, FACP",,,yes,yes,"INVESTIGATOR:	Nikolaos T. Pyrsopoulos, MD, PhD, MBA, FACP
I agree to the above statement",Certificate,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'United States'}",
INFORMED CONSENT FORM,185 South Orange Avenue H-538,,,yes,yes,"185 South Orange Avenue H-538
I agree to the above statement",Certificate,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'United States'}",
INFORMED CONSENT FORM,"Newark, New Jersey 07103 United States",,,yes,yes,"Newark, New Jersey 07103 United States
I agree to the above statement",Certificate,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'United States'}",
STUDY RELATED,"PHONE NUMBER(S):	973-972-5252 (24 hours)",,,yes,yes,"PHONE NUMBER(S):	973-972-5252 (24 hours)
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'United States'}",
Why is this study being done?,"Bristol-Myers Squibb (BMS) has begun a study of an investigational treatment of nivolumab in combination with ipilimumab followed by nivolumab alone as a possible treatment for advanced liver cancer. An investigational treatment is one that has not been approved by the United States (US) Food and Drug Administration (FDA). For this study, researchers are studying the clinical benefit, long-term safety and survival data of the investigational treatment (nivolumab with ipilimumab followed by nivolumab alone) in participants with advanced liver cancer who have not previously received a drug treatment for this disease. Nivolumab and ipilimumab are types of immunotherapy that work by encouraging the body's own immune system to attack the cancer cells. The main purpose of this study is to learn how well the investigational treatment works and how safe it is compared with other therapies that have already been FDA approved (standard of care treatments), in this case, sorafenib or lenvatinib.",,,yes,yes,"Bristol-Myers Squibb (BMS) has begun a study of an investigational treatment of nivolumab in combination with ipilimumab followed by nivolumab alone as a possible treatment for advanced liver cancer. An investigational treatment is one that has not been approved by the United States (US) Food and Drug Administration (FDA). For this study, researchers are studying the clinical benefit, long-term safety and survival data of the investigational treatment (nivolumab with ipilimumab followed by nivolumab alone) in participants with advanced liver cancer who have not previously received a drug treatment for this disease. Nivolumab and ipilimumab are types of immunotherapy that work by encouraging the body's own immune system to attack the cancer cells. The main purpose of this study is to learn how well the investigational treatment works and how safe it is compared with other therapies that have already been FDA approved (standard of care treatments), in this case, sorafenib or lenvatinib.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'United States'}",
