Section_Name,Content,Approved/Disapproved,Blanks,signature,final_response,Content_modified,Category,Entity Dictionary,Final_signature
Id,Prot Specific Site IC IC Main IM011-047 CAN 0012 07 Nov 2018  ,,,,,,Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Study Title:,"A Multi-Center, Randomized, Double-Blind, Placebo- and Active Comparator-Controlled Phase 3 Study with Randomized Withdrawal and Retreatment to Evaluate the Efficacy and Safety of BMS-986165 in Subjects with Moderate-to-Severe Plaque Psoriasis",,,,,,Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Address,"3292 Bayview Avenue, Suites 205 and 308 North York, Ontario M2M 4J5",,,,,,Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
North York Research Inc.,"3292 Bayview Ave, Unit 205 & 308, Toronto, ON M2M 4J5 Tel: (416) 222-SKIN (7546) Fax: (416) 221-SKIN (7546)",,,yes,yes,"3292 Bayview Ave, Unit 205 & 308, Toronto, ON M2M 4J5 Tel: (416) 222-SKIN (7546) Fax: (416) 221-SKIN (7546)
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
SUBJECT INFORMATION AND CONSENT FORM,"Ethics approved by the Research Review Board Inc. on November 9, 2018",,,yes,yes,"Ethics approved by the Research Review Board Inc. on November 9, 2018
I agree to the above statement",Certificate,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
SUBJECT INFORMATION AND CONSENT FORM,"This consent form, a copy of which has been given to you, is only part of the process of informed consent. It should give you the basic idea of what the research is about and what your participation will involve. If you would like more detail about something mentioned here, or information not included here, you should feel free to ask. Please take the time to read this carefully and to understand any accompanying information.",,,yes,yes,"This consent form, a copy of which has been given to you, is only part of the process of informed consent. It should give you the basic idea of what the research is about and what your participation will involve. If you would like more detail about something mentioned here, or information not included here, you should feel free to ask. Please take the time to read this carefully and to understand any accompanying information.
I agree to the above statement",Certificate,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Introduction,You have been invited to take part in this research study because you have moderate to severe psoriasis.,,,yes,yes,"You have been invited to take part in this research study because you have moderate to severe psoriasis.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Introduction,"Your participation in this research study is voluntary. You are free to say yes or no. If you decide to take part in this study, you can stop at any time. If you do decide to take part, you will be asked to sign and date this consent form. You will receive a copy of this signed and dated form for your records.",,,yes,yes,"Your participation in this research study is voluntary. You are free to say yes or no. If you decide to take part in this study, you can stop at any time. If you do decide to take part, you will be asked to sign and date this consent form. You will receive a copy of this signed and dated form for your records.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Introduction,"This consent form gives you important information about this study to help you decide if you would like to participate. Before you can take part in this study, it is important that you understand what this study involves. Please read this information carefully and ask any questions that you might have. This consent form may contain words that you do not understand. Please ask the study doctor or study staff to explain any words or information that you do not clearly understand. You can discuss whether you want to participate in this study with other people, such as your family and friends, or with your family doctor. You can take as much time as you like to make your decision.",,,yes,yes,"This consent form gives you important information about this study to help you decide if you would like to participate. Before you can take part in this study, it is important that you understand what this study involves. Please read this information carefully and ask any questions that you might have. This consent form may contain words that you do not understand. Please ask the study doctor or study staff to explain any words or information that you do not clearly understand. You can discuss whether you want to participate in this study with other people, such as your family and friends, or with your family doctor. You can take as much time as you like to make your decision.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Introduction,This research study is being conducted for Bristol-Myers Squibb Company (the company that manufactures the drug being studied in this research study). Bristol-Myers Squibb (BMS) is sponsoring the study and will be paying the study doctor to conduct the study.,,,yes,yes,"This research study is being conducted for Bristol-Myers Squibb Company (the company that manufactures the drug being studied in this research study). Bristol-Myers Squibb (BMS) is sponsoring the study and will be paying the study doctor to conduct the study.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
