Section_Name,Content,Approved/Disapproved,Blanks,signature,final_response,Content_modified,Category,Entity Dictionary,Final_signature
Id,Prot Specific Site IC IC Main CA209-9DW USA 0195 13 May 2020 2.1 IEC-IRB Approved IC,,,,,,,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'United States'}",
MAIN INFORMED CONSENT AND RESEARCH AUTHORIZATION,"A Randomized, Multi-center, Phase 3 Study of Nivolumab in Combination with Ipilimumab Compared to Sorafenib or Lenvatinib as First-Line Treatment in Participants with Advanced Hepatocellular Carcinoma",,,yes,yes,"A Randomized, Multi-center, Phase 3 Study of Nivolumab in Combination with Ipilimumab Compared to Sorafenib or Lenvatinib as First-Line Treatment in Participants with Advanced Hepatocellular Carcinoma
I agree to the above statement",Certificate,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'United States'}",
Key Summary Information,We are inviting you to participate in this research study because you have been diagnosed with advanced liver cancer. Participation in this research study is voluntary. You may choose not to take part in this research study or may choose to leave the research study at any time. Your decision will not impact the clinical care you receive.,,,yes,yes,"We are inviting you to participate in this research study because you have been diagnosed with advanced liver cancer. Participation in this research study is voluntary. You may choose not to take part in this research study or may choose to leave the research study at any time. Your decision will not impact the clinical care you receive.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'United States'}",
Key Summary Information,"The purpose of this study is to test a combination treatment of study drugs called nivolumab and ipilimumab followed by nivolumab alone for your liver cancer. The researchers are studying how this combination works and how safe it is compared to the standard of care treatment (treatment that is usually used for your liver cancer), sorafenib or lenvatinib.",,,yes,yes,"The purpose of this study is to test a combination treatment of study drugs called nivolumab and ipilimumab followed by nivolumab alone for your liver cancer. The researchers are studying how this combination works and how safe it is compared to the standard of care treatment (treatment that is usually used for your liver cancer), sorafenib or lenvatinib.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'United States'}",
Key Summary Information,Nivolumab and ipilimumab are types of immunotherapy that works by encouraging the body's own immune system to attack the cancer cells.,,,yes,yes,"Nivolumab and ipilimumab are types of immunotherapy that works by encouraging the body's own immune system to attack the cancer cells.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'United States'}",
Key Summary Information,"Participants in this study will need to sign this consent form before any testing or procedures can take place. This study is divided into 3 time periods: screening period, treatment period and a follow-up period. The screening period will determine if you meet the requirements to be part of the study. You will have laboratory work, review of your medical history and medication, tumor collection (if needed), tumor imaging and completing questionnaires during the screening period. The screening day visit will be approximately a 4-hour visit. All other visits will take approximately 1-2 hours.",,,yes,yes,"Participants in this study will need to sign this consent form before any testing or procedures can take place. This study is divided into 3 time periods: screening period, treatment period and a follow-up period. The screening period will determine if you meet the requirements to be part of the study. You will have laboratory work, review of your medical history and medication, tumor collection (if needed), tumor imaging and completing questionnaires during the screening period. The screening day visit will be approximately a 4-hour visit. All other visits will take approximately 1-2 hours.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'United States'}",
Key Summary Information,When you have met all the requirements you will enter the treatment period. This is where you will be randomly assigned (like a flip of a coin) to receive one of the following treatments:,,,yes,yes,"When you have met all the requirements you will enter the treatment period. This is where you will be randomly assigned (like a flip of a coin) to receive one of the following treatments:
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'United States'}",
Key Summary Information,Bullet- Investigational Therapy: Nivolumab 1 mg/kg plus ipilimumab 3 mg/kg intravenously (IV; in a vein) on day 1 visit of each cycle every 3 weeks for up to 4 cycles. After 4 cycles you will receive nivolumab 480 mg alone every 4 weeks.,,,yes,yes,"Bullet- Investigational Therapy: Nivolumab 1 mg/kg plus ipilimumab 3 mg/kg intravenously (IV; in a vein) on day 1 visit of each cycle every 3 weeks for up to 4 cycles. After 4 cycles you will receive nivolumab 480 mg alone every 4 weeks.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'United States'}",
Key Summary Information,Bullet- Standard of Care: Sorafenib 400 mg orally twice a day or lenvatinib 8 mg or 12 mg (depending on your body weight) orally once a day. Whether you receive sorafenib or lenvatinib will be based on the study doctorÃ¢ÂÂs judgment.,,,yes,yes,"Bullet- Standard of Care: Sorafenib 400 mg orally twice a day or lenvatinib 8 mg or 12 mg (depending on your body weight) orally once a day. Whether you receive sorafenib or lenvatinib will be based on the study doctorÃ¢ÂÂs judgment.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'United States'}",
Key Summary Information,During the treatment period you will have the following tests and procedures take place:,,,yes,yes,"During the treatment period you will have the following tests and procedures take place:
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'United States'}",
