Section_Name,Content,Approved/Disapproved,Blanks,signature,final_response,Content_modified,Category,Entity Dictionary,Final_signature
Id,Prot Specific Site IC IC Main CA209-9DW USA 0043 10 Jun 2020 2.1 IEC-IRB Approved IC,,,,,,,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'United States'}",
Study Title,"A Randomized, Multi-center, Phase 3 Study of Nivolumab in Combination with Ipilimumab Compared to Sorafenib or Lenvatinib as First-Line Treatment in Participants with Advanced Hepatocellular Carcinoma",,,,,,,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'United States'}",
Informed Consent Form,"Study Title:	A Randomized, Multi-center, Phase 3 Study of Nivolumab in Combination with Ipilimumab Compared to Sorafenib or Lenvatinib as First-Line Treatment in Participants with Advanced Hepatocellular Carcinoma",,,yes,yes,"Study Title:	A Randomized, Multi-center, Phase 3 Study of Nivolumab in Combination with Ipilimumab Compared to Sorafenib or Lenvatinib as First-Line Treatment in Participants with Advanced Hepatocellular Carcinoma
I agree to the above statement",Certificate,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'United States'}",
Informed Consent Form,"Protocol Number:	CA2099DW",,,yes,yes,"Protocol Number:	CA2099DW
I agree to the above statement",Certificate,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'United States'}",
Informed Consent Form,"Sponsor:	Bristol-Myers Squibb Research and Development (BMS)",,,yes,yes,"Sponsor:	Bristol-Myers Squibb Research and Development (BMS)
I agree to the above statement",Certificate,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'United States'}",
Why is this study being done?,"Bristol-Myers Squibb (BMS) has begun a study of an investigational treatment of nivolumab in combination with ipilimumab followed by nivolumab alone as a possible treatment for advanced liver cancer. An investigational treatment is one that has not been approved by the United States (US) Food and Drug Administration (FDA). For this study, researchers are studying the clinical benefit, long-term safety and survival data of the investigational treatment (nivolumab with ipilimumab followed by nivolumab alone) in participants with advanced liver cancer who have not previously received a drug treatment for this disease. Nivolumab and ipilimumab are types of immunotherapy that work by encouraging the body's own immune system to attack the cancer cells. The main purpose of this study is to learn how well the investigational treatment works and how safe it is compared with other therapies that have already been FDA approved (standard of care treatments) , in this case, sorafenib or lenvatinib.",,,yes,yes,"Bristol-Myers Squibb (BMS) has begun a study of an investigational treatment of nivolumab in combination with ipilimumab followed by nivolumab alone as a possible treatment for advanced liver cancer. An investigational treatment is one that has not been approved by the United States (US) Food and Drug Administration (FDA). For this study, researchers are studying the clinical benefit, long-term safety and survival data of the investigational treatment (nivolumab with ipilimumab followed by nivolumab alone) in participants with advanced liver cancer who have not previously received a drug treatment for this disease. Nivolumab and ipilimumab are types of immunotherapy that work by encouraging the body's own immune system to attack the cancer cells. The main purpose of this study is to learn how well the investigational treatment works and how safe it is compared with other therapies that have already been FDA approved (standard of care treatments) , in this case, sorafenib or lenvatinib.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'United States'}",
Why is this study being done?,"You are being asked to take part in this study because you have been diagnosed with advanced liver cancer. This study involves research. Participating in a research study is not the same as getting regular medical care. The primary purpose of a research study is to collect information about a medical treatment; the purpose of regular medical care is to improve your health. Being in this study does not replace your regular medical care, but you may have additional evaluations or changes in your treatments during the study.",,,yes,yes,"You are being asked to take part in this study because you have been diagnosed with advanced liver cancer. This study involves research. Participating in a research study is not the same as getting regular medical care. The primary purpose of a research study is to collect information about a medical treatment; the purpose of regular medical care is to improve your health. Being in this study does not replace your regular medical care, but you may have additional evaluations or changes in your treatments during the study.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'United States'}",
Why is this study being done?,"Your participation in this study is voluntary. If you do not want to take part in the study, your decision will be respected. If you decide not to take part in this study, you can continue with your current medical care.",,,yes,yes,"Your participation in this study is voluntary. If you do not want to take part in the study, your decision will be respected. If you decide not to take part in this study, you can continue with your current medical care.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'United States'}",
Why is this study being done?,"Before participation in the study, you or your legally acceptable representative will receive a copy of the signed and dated written consent form and any other printed information that is provided.",,,yes,yes,"Before participation in the study, you or your legally acceptable representative will receive a copy of the signed and dated written consent form and any other printed information that is provided.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'United States'}",
Why is this study being done?,"The study has been approved by the Independent Ethics Committee, Toledo Clinic Institutional Review Board, and an authorization from the applicable competent authorities according to the local laws and regulations.",,,yes,yes,"The study has been approved by the Independent Ethics Committee, Toledo Clinic Institutional Review Board, and an authorization from the applicable competent authorities according to the local laws and regulations.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'United States'}",
